# 1629 FLIRT/identified names (VC6/MFC42/std)
0x004016F0 ??_9@$BOI@AE
0x00401700 ??_Gfacet@locale@std@@UAEPAXI@Z
0x00401CA0 ??0CRectTracker@@QAE@XZ
0x00402190 ?_Addfac@_Locimp@locale@std@@AAEXPAVfacet@23@I@Z
0x00402B70 ??_Gios_base@std@@UAEPAXI@Z
0x00402C10 ??1ios_base@std@@UAE@XZ
0x00403A20 ?NotifyAllocator@CDrawImage@@QAEXH@Z
0x00404D40 ??_Gstdiobuf@@UAEPAXI@Z
0x00404D60 ??1stdiobuf@@UAE@XZ
0x00405AD0 ??1CObject@@UAE@XZ_0
0x004062D0 ?CreateObject@?$CProcessLocal@V_AFX_MAIL_STATE@@@@SGPAVCNoTrackObject@@XZ
0x004062F0 ??_G_AFX_MAIL_STATE@@UAEPAXI@Z
0x00407640 ?Win95IsDebuggerPresent@@YGHXZ
0x00407660 ?SetModifiedFlag@CDocument@@UAEXH@Z
0x00408800 ??1stdiobuf@@UAE@XZ_0
0x00409110 ??1ios_base@std@@UAE@XZ_0
0x004091A0 ?OnClose@CDockablePane@@IAEXXZ
0x00409750 ??1stdiobuf@@UAE@XZ_1
0x00409C40 ??0CRectTracker@@QAE@XZ_0
0x00409E30 ?ReleaseOutputDC@CDC@@UAEXXZ
0x0040A660 ?do_always_noconv@codecvt_base@std@@MBE_NXZ
0x0040A6C0 ??_Gstrstreambuf@std@@UAEPAXI@Z
0x0040A700 ??1strstreambuf@std@@UAE@XZ
0x0040B0D0 ??0DNameNode@@IAE@XZ
0x0040B150 ??_GCButton@@UAEPAXI@Z
0x0040BC80 ??_GCStatic@@UAEPAXI@Z
0x0040C730 ??_GCComboBox@@UAEPAXI@Z
0x0040CA90 ?ResetVersion@COleControl@@QAEXK@Z
0x0040D3B0 ??_9@$BME@AE
0x0040D3D0 ??_GCEdit@@UAEPAXI@Z
0x0040EA20 ?OnCtlColor@CColorDialog@@IAEPAUHBRUSH__@@PAVCDC@@PAVCWnd@@I@Z
0x0040EA50 ??_9@$BMI@A
0x0040EC80 ??_G_Locimp@locale@std@@UAEPAXI@Z
0x0040ECA0 ??1_Locimp@locale@std@@UAE@XZ
0x00410490 ?SetDlgCtrlID@COleControlSite@@UAEHH@Z
0x00411D60 ??0CMediaType@@QAE@XZ
0x00412940 ??1ios_base@std@@UAE@XZ_1
0x00412A30 ??_GCDialog@@UAEPAXI@Z
0x00412B80 ?classic@locale@std@@SAABV12@XZ
0x00412D60 ?OnCtlColor@CColorDialog@@IAEPAUHBRUSH__@@PAVCDC@@PAVCWnd@@I@Z_0
0x00413D50 ?SetCheckStyle@CCheckListBox@@QAEXI@Z
0x004150EE ??_GCNoTrackObject@@UAEPAXI@Z
0x0041510A ?CreateObject@?$CThreadLocal@VAFX_MODULE_THREAD_STATE@@@@SGPAVCNoTrackObject@@XZ
0x0041513E ?CreateObject@?$CThreadLocal@V_AFX_THREAD_STATE@@@@SGPAVCNoTrackObject@@XZ
0x00415172 ??1CHandleMap@@QAE@XZ
0x004151BB ?AfxGetMainWnd@@YGPAVCWnd@@XZ
0x004151D4 ?CreateObject@?$CProcessLocal@V_AFX_WIN_STATE@@@@SGPAVCNoTrackObject@@XZ
0x00415205 ?GetOwner@CWnd@@QBEPAV1@XZ
0x00415229 ?CreateObject@?$CProcessLocal@V_AFX_CTL3D_STATE@@@@SGPAVCNoTrackObject@@XZ
0x0041523E ??_G_AFX_CTL3D_STATE@@UAEPAXI@Z
0x00415259 ??0CResourceException@@QAE@HI@Z
0x00415283 ??0CUserException@@QAE@HI@Z
0x004152C9 ??1CObject@@UAE@XZ_1
0x004152D0 ??_GCBitmap@@UAEPAXI@Z
0x004152EC ??1CBitmap@@UAE@XZ
0x0041531F ?PtVisible@CDC@@UBEHHH@Z
0x00415333 ?RectVisible@CDC@@UBEHPBUtagRECT@@@Z
0x00415343 ?TextOutA@CDC@@UAEHHHPBDH@Z
0x0041535F ?ExtTextOutA@CDC@@UAEHHHIPBUtagRECT@@PBDIPAH@Z
0x00415384 ?TabbedTextOutA@CDC@@UAE?AVCSize@@HHPBDHHPAHH@Z
0x004153BC ?DrawTextA@CDC@@UAEHPBDHPAUtagRECT@@I@Z
0x004153D8 ?GrayStringA@CDC@@UAEHPAVCBrush@@P6GHPAUHDC__@@JH@ZJHHHHH@Z
0x00415408 ?Escape@CDC@@UAEHHHPBDPAX@Z
0x00415440 ??1CBitmap@@UAE@XZ_0
0x00415473 ??_GCFileException@@UAEPAXI@Z
0x0041548F ??1CFileException@@UAE@XZ
0x004154C3 ??_GCDialog@@UAEPAXI@Z_0
0x004154DF ?CreateObject@?$CThreadLocal@V_AFX_CTL3D_THREAD@@@@SGPAVCNoTrackObject@@XZ
0x004154F4 ??_G_AFX_CTL3D_THREAD@@UAEPAXI@Z
0x0041550F ??0CMemoryException@@QAE@HI@Z
0x00415539 ??0CNotSupportedException@@QAE@HI@Z
0x00415563 ??6CArchive@@QAEAAV0@G@Z
0x0041558A ??6CArchive@@QAEAAV0@K@Z
0x004155B0 ??5CArchive@@QAEAAV0@AAG@Z
0x004155E3 ??5CArchive@@QAEAAV0@AAK@Z
0x00415615 ??_GCArchiveException@@UAEPAXI@Z
0x00415631 ??1CArchiveException@@UAE@XZ
